Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HADOOP-745,12356440,NameNode throws FileNotFoundException: Parent path does not exist on startup,dhruba,nidaley,Major,Closed,Fixed,22/Nov/06 23:38,08/Jul/09 16:42,
Bug,HADOOP-741,12356307,Fix average progress calculation in speculative execution of maps + fix pending issues in speculative execution of reduces,sanjay.dahiya,sanjay.dahiya,Major,Closed,Fixed,21/Nov/06 22:22,08/Jul/09 16:52,
Bug,HADOOP-740,12356303,JobTracker does not clean up task entries at job completion,acmurthy,omalley,Major,Closed,Fixed,21/Nov/06 21:31,08/Jul/09 16:52,
Bug,HADOOP-739,12356299,TestIPC occassionally fails with BindException,nidaley,nidaley,Minor,Closed,Fixed,21/Nov/06 20:33,01/Dec/06 22:43,
Bug,HADOOP-738,12356215,dfs get or copyToLocal should not copy crc file,milindb,milindb,Major,Closed,Fixed,20/Nov/06 22:02,08/Jul/09 16:42,
Bug,HADOOP-737,12356170,TaskTracker's job cleanup loop should check for finished job before deleting local directories,acmurthy,sanjay.dahiya,Critical,Closed,Fixed,20/Nov/06 12:46,02/May/13 02:29,
Bug,HADOOP-736,12356152,Roll back Jetty6.0.1 to Jetty5.1.4,ddas,ddas,Major,Closed,Fixed,20/Nov/06 07:24,01/Dec/06 22:43,
Bug,HADOOP-735,12356046,"The underlying data structure, ByteArrayOutputStream,  for buffer type of Hadoop record is inappropriate",milindb,runping,Major,Closed,Fixed,17/Nov/06 23:59,03/Feb/07 03:23,
Bug,HADOOP-734,12356044,"Link to the FAQ in the ""Documentation"" section of the hadoop website",shv,shv,Major,Closed,Fixed,17/Nov/06 23:27,01/Dec/06 22:43,
Bug,HADOOP-733,12356008,dfs shell has inconsistent exit codes,dhruba,ckunz,Major,Closed,Fixed,17/Nov/06 16:53,08/Jul/09 16:42,
Bug,HADOOP-731,12355904,"Sometimes when a dfs file is accessed and one copy has a checksum error the I/O command fails, even if another copy is alright.",wchien,dking,Major,Closed,Fixed,16/Nov/06 19:23,08/Jul/09 16:42,
Bug,HADOOP-729,12355832,packageNativeHadoop.sh has non-standard sh code,acmurthy,acmurthy,Critical,Closed,Fixed,16/Nov/06 07:06,01/Dec/06 22:43,
Bug,HADOOP-728,12355800,Map-reduce task does not produce correct results when -reducer NONE is specified through streaming,sanjay.dahiya,dhruba,Major,Closed,Fixed,16/Nov/06 00:06,08/Jul/09 17:05,
Bug,HADOOP-724,12355766,"bin/hadoop:111 uses java directly, it should use JAVA_HOME",acmurthy,sanjay.dahiya,Minor,Closed,Fixed,15/Nov/06 18:56,30/Sep/11 20:10,
Bug,HADOOP-723,12355752,Race condition exists in the method MapOutputLocation.getFile,omalley,ddas,Major,Closed,Fixed,15/Nov/06 16:45,08/Jul/09 16:52,
Bug,HADOOP-722,12355664,native-hadoop deficiencies,acmurthy,acmurthy,Critical,Closed,Fixed,15/Nov/06 05:01,01/Dec/06 22:43,
Bug,HADOOP-716,12355567,Javadoc warning in SequenceFile.java,ddas,ddas,Minor,Closed,Fixed,14/Nov/06 06:28,01/Dec/06 22:43,
Bug,HADOOP-715,12355562,build.xml sets up wrong 'hadoop.log.dir' property for 'ant test',acmurthy,acmurthy,Minor,Closed,Fixed,14/Nov/06 03:44,01/Dec/06 22:43,
Bug,HADOOP-712,12355512,Record-IO XML serialization is broken for control characters,milindb,milindb,Major,Closed,Fixed,13/Nov/06 20:13,01/Dec/06 22:43,
Bug,HADOOP-710,12355311,block size isn't honored,milindb,nidaley,Major,Closed,Fixed,10/Nov/06 22:53,08/Jul/09 16:42,
Bug,HADOOP-709,12355310,streaming job with Control characters in the command causes runtime exception in the job tracker,dhruba,dhruba,Major,Closed,Fixed,10/Nov/06 22:34,08/Jul/09 17:05,
Bug,HADOOP-708,12355301,test-libhdfs.sh does not properly capture and return error status,nidaley,nidaley,Major,Closed,Fixed,10/Nov/06 19:48,01/Dec/06 22:43,
Bug,HADOOP-705,12355223,IOException: job.xml already exists,mahadev,nidaley,Major,Closed,Fixed,10/Nov/06 02:00,08/Jul/09 16:52,
Bug,HADOOP-700,12355107,bin/hadoop includes in classpath all jar files in HADOOP_HOME,cutting,nidaley,Major,Closed,Fixed,09/Nov/06 01:41,05/Jan/07 23:22,
Bug,HADOOP-699,12355101,"""Browse the filesystem"" link on Name Node redirects to wrong port on DataNode",rangadi,rangadi,Major,Closed,Fixed,09/Nov/06 00:58,08/Jul/09 16:42,
Bug,HADOOP-698,12355097,"When DFS client fails to read from a datanode, the failed datanode is not excluded from target reselection",milindb,hairong,Major,Closed,Fixed,08/Nov/06 23:03,08/Jul/09 16:42,
